City,Condition,Temperature,Wind,Humidity,Pressure,Visibility,DateTime
Tokyo,Cloudy,26.0,20.0,20.0,1050.0,Good,2007-01-02
Berlin,Snowy,-9.0,10.0,75.0,1012.0,Poor,2004-07-26
New York,Cloudy,100.0,25.0,46.0,1018.0,Moderate,2017-12-10
Rome,Clear,-3.0,25.0,26.0,1008.0,Good,2004-12-20
Beijing,Rainy,7.0,15.0,70.0,997.0,Moderate,2001-04-17
Rome,Stormy,35.0,5.0,82.0,1005.0,Good,2000-07-17
New York,Clear,2.0,1.0,67.0,1002.0,Good,2005-01-24
Berlin,Stormy,40.0,20.0,87.0,1001.795154185022,Poor,2006-12-24
London,Rainy,18.0,25.0,73.0,1023.0,Poor,2016-07-25
Rome,Stormy,-5.0,1.0,40.0,1012.0,Poor,2004-08-06
Moscow,Cloudy,23.0,10.0,23.0,1050.0,Poor,2000-06-17
London,Cloudy,2.0,20.0,59.08647450110865,1023.0,Good,2007-03-13
London,Rainy,28.0,1.0,59.08647450110865,1020.0,Poor,2002-09-20
Beijing,Clear,12.0,25.0,66.0,982.0,Poor,2023-07-15
Madrid,Clear,39.0,15.0,59.08647450110865,1007.0,Moderate,2018-02-04
Madrid,Cloudy,38.0,30.0,90.0,1002.0,Good,2010-01-21
London,Clear,19.0,17.997777777777777,62.0,989.0,Poor,2024-05-21
Rome,Clear,-6.0,25.0,45.0,1001.795154185022,Moderate,2016-10-11
Sydney,Rainy,-8.0,1.0,49.0,1001.795154185022,Good,2023-02-03
Sydney,Clear,-4.0,20.0,98.0,1015.0,Good,2022-09-18
Paris,Cloudy,18.0,25.0,46.0,1005.0,Poor,2019-10-16
Paris,Stormy,15.0,1.0,59.08647450110865,1011.0,Good,2010-06-24
London,Snowy,-2.0,5.0,33.0,999.0,Moderate,2001-09-26
Sydney,Rainy,30.0,10.0,61.0,1006.0,Moderate,2023-04-11
New York,Stormy,15.0,10.0,72.0,1023.0,Poor,2023-03-16
Madrid,Snowy,34.0,15.0,73.0,1021.0,Good,2013-05-30
London,Cloudy,16.0,25.0,81.0,994.0,Moderate,2017-11-05
London,Clear,13.8980044345898,10.0,92.0,1001.795154185022,Moderate,2020-12-14
Sydney,Stormy,-2.0,30.0,47.0,1011.0,Poor,2024-03-21
London,Rainy,-4.0,20.0,59.08647450110865,997.0,Good,2016-08-21
Rome,Stormy,13.8980044345898,20.0,23.0,1024.0,Poor,2016-08-19
Tokyo,Stormy,26.0,20.0,59.08647450110865,1013.0,Good,2011-09-09
London,Stormy,34.0,25.0,47.0,1008.0,Poor,2001-11-05
New York,Snowy,21.0,30.0,98.0,1007.0,Poor,2010-08-23
New York,Snowy,17.0,10.0,21.0,992.0,Good,2000-12-31
Berlin,Clear,-3.0,15.0,44.0,990.0,Moderate,2003-08-12
Berlin,Rainy,25.0,15.0,87.0,1007.0,Moderate,2008-03-21
Berlin,Stormy,24.0,10.0,94.0,995.0,Moderate,2001-02-09
Madrid,Snowy,21.0,25.0,20.0,991.0,Moderate,2001-10-30
Rome,Snowy,8.0,17.997777777777777,24.0,1001.0,Good,2019-12-10
Moscow,Snowy,8.0,30.0,50.0,1025.0,Poor,2024-06-01
Rome,Stormy,34.0,1.0,36.0,990.0,Moderate,2000-06-12
Sydney,Stormy,13.8980044345898,50.0,92.0,1009.0,Moderate,2004-01-16
Rome,Clear,-7.0,20.0,54.0,983.0,Poor,2003-08-12
Rome,Clear,9.0,30.0,46.0,1023.0,Poor,2008-06-12
Madrid,Clear,-6.0,10.0,59.08647450110865,997.0,Good,2015-09-07
Madrid,Rainy,36.0,25.0,26.0,984.0,Good,2004-11-21
London,Stormy,2.0,17.997777777777777,92.0,1024.0,Poor,2002-01-26
Berlin,Snowy,3.0,30.0,58.0,1021.0,Moderate,2016-07-01
Sydney,Clear,7.0,25.0,79.0,1012.0,Good,2022-09-08
Berlin,Clear,-8.0,20.0,88.0,1017.0,Good,2004-07-04
London,Rainy,-6.0,17.997777777777777,65.0,1009.0,Moderate,2020-05-12
Beijing,Cloudy,21.0,30.0,33.0,1000.0,Moderate,2023-12-27
Berlin,Cloudy,25.0,17.997777777777777,76.0,1001.795154185022,Good,2016-07-15
Rome,Clear,15.0,5.0,72.0,1024.0,Good,2001-10-23
Tokyo,Snowy,5.0,30.0,24.0,984.0,Good,2023-05-10
Rome,Snowy,8.0,1.0,97.0,1001.795154185022,Poor,2024-08-13
London,Stormy,13.0,17.997777777777777,59.08647450110865,1022.0,Poor,2013-10-03
Berlin,Cloudy,28.0,5.0,49.0,997.0,Moderate,2007-07-07
Moscow,Snowy,38.0,1.0,74.0,1024.0,Poor,2015-07-26
Beijing,Cloudy,21.0,1.0,59.08647450110865,1001.795154185022,Moderate,2009-04-04
Madrid,Rainy,-5.0,5.0,35.0,1001.795154185022,Moderate,2002-08-24
Berlin,Cloudy,21.0,5.0,90.0,990.0,Good,2011-03-25
London,Snowy,22.0,20.0,63.0,1001.795154185022,Good,2020-05-06
Moscow,Stormy,38.0,1.0,68.0,993.0,Good,2009-05-04
Madrid,Snowy,38.0,10.0,59.08647450110865,950.0,Good,2008-03-02
Paris,Snowy,4.0,17.997777777777777,90.0,993.0,Moderate,2001-06-26
Berlin,Snowy,23.0,5.0,62.0,987.0,Good,2008-06-23
Sydney,Stormy,39.0,10.0,59.08647450110865,1003.0,Good,2004-05-24
Tokyo,Stormy,24.0,25.0,43.0,985.0,Poor,2018-01-04
Moscow,Stormy,25.0,25.0,83.0,1001.795154185022,Moderate,2012-09-25
Paris,Snowy,0.0,20.0,79.0,1017.0,Poor,2022-08-21
Berlin,Stormy,37.0,25.0,85.0,1013.0,Good,2009-10-19
Rome,Clear,36.0,50.0,86.0,987.0,Moderate,2013-09-11
London,Stormy,14.0,10.0,5.0,1016.0,Good,2021-08-11
Paris,Stormy,-7.0,30.0,86.0,989.0,Moderate,2006-10-28
New York,Rainy,-3.0,15.0,42.0,981.0,Moderate,2001-08-22
Tokyo,Rainy,19.0,1.0,25.0,1019.0,Good,2022-05-01
Paris,Clear,15.0,5.0,44.0,1021.0,Moderate,2013-05-02
New York,Cloudy,21.0,20.0,87.0,1022.0,Moderate,2023-11-30
Sydney,Rainy,-3.0,30.0,52.0,993.0,Good,2024-11-11
Paris,Snowy,5.0,25.0,49.0,994.0,Poor,2018-01-30
New York,Snowy,39.0,5.0,54.0,1013.0,Poor,2024-01-01
Sydney,Cloudy,20.0,15.0,77.0,992.0,Poor,2016-07-23
Rome,Cloudy,-2.0,100.0,59.08647450110865,991.0,Poor,2015-08-10
London,Stormy,8.0,30.0,77.0,989.0,Poor,2015-10-14
Beijing,Cloudy,10.0,15.0,78.0,950.0,Poor,2009-03-02
